label,uri
"LAND BREEZES",https://gcmdservices.gsfc.nasa.gov/kms/concept/31fe9edf-ec85-446f-a476-4bd24ee59ae2
"OSTRACODS",https://gcmdservices.gsfc.nasa.gov/kms/concept/e91ca626-7afa-4e36-8a28-f8df6fc9d797
"WIND DIRECTION TENDENCY",https://gcmdservices.gsfc.nasa.gov/kms/concept/2a43bf40-7f23-4616-be1b-66940b7b7f4f
"HARDNESS",https://gcmdservices.gsfc.nasa.gov/kms/concept/26ea8426-2996-4b93-aff2-f3b9cd2f8a7a
"WATER VAPOR",https://gcmdservices.gsfc.nasa.gov/kms/concept/15029eb0-6342-4066-8ac9-c50f7dbfb392
"MARSHES",https://gcmdservices.gsfc.nasa.gov/kms/concept/30056645-a442-4ef6-ac76-c5bc27086d83
"HEALTH ADVISORIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/370eba54-962b-4e59-9686-86d5c5ab9c88
"REFLECTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/547c2bee-40ce-4b23-8338-5fa7c6ad8a8d
"DECAPODS",https://gcmdservices.gsfc.nasa.gov/kms/concept/e631c681-5dad-48b2-83ce-943a1f0df47a
"VORTICITY",https://gcmdservices.gsfc.nasa.gov/kms/concept/858a80ff-5aa4-4590-b2e2-e88a802a6ee4
"WEB MAP SERVICE",https://gcmdservices.gsfc.nasa.gov/kms/concept/cdb4a032-bb7d-455d-b3dc-e88fa465b7c7
"MARSH",https://gcmdservices.gsfc.nasa.gov/kms/concept/4c09d43f-68d5-469d-aaed-f9ef8968ef2e
"GREEN ALGAE",https://gcmdservices.gsfc.nasa.gov/kms/concept/76557903-2ed7-4f0e-b8fc-df02798d724e
"CLUB MOSSES",https://gcmdservices.gsfc.nasa.gov/kms/concept/c5ae3a71-d144-4b91-9cf0-e3cb27ce718f
"STRATOPAUSE",https://gcmdservices.gsfc.nasa.gov/kms/concept/82191e97-53ba-413d-9a08-acd8b848e0b0
"SALINITY",https://gcmdservices.gsfc.nasa.gov/kms/concept/04fa9023-ab68-4dd0-a82e-abe685105a53
"DROUGHT FREQUENCY",https://gcmdservices.gsfc.nasa.gov/kms/concept/e54536fa-c78e-478c-893f-1da73baf2da7
"AO",https://gcmdservices.gsfc.nasa.gov/kms/concept/a135fceb-cf13-4186-9ad3-8d5db82312c9
"TOOTHED WHALES",https://gcmdservices.gsfc.nasa.gov/kms/concept/1e2a4882-d1e9-4e1a-a2a5-efc449133bf5
"CLOUD DROPLET CONCENTRATION/SIZE",https://gcmdservices.gsfc.nasa.gov/kms/concept/47812ef8-b64b-4988-9ae4-31f3581ae9a5
"SPECIFIC GRAVITY",https://gcmdservices.gsfc.nasa.gov/kms/concept/383eb3f9-49bb-4210-ab59-030eeb1f68c3
"DROPLET SIZE",https://gcmdservices.gsfc.nasa.gov/kms/concept/6eaed241-db16-4a1a-a06c-893da5d98b45
"TYPHOONS (WESTERN N. PACIFIC)",https://gcmdservices.gsfc.nasa.gov/kms/concept/93ef0499-0b06-4f9a-885b-52e89563b3ec
"CARBONACEOUS AEROSOLS",https://gcmdservices.gsfc.nasa.gov/kms/concept/527f637c-aea5-4519-9293-d57e10a76bff
"SEDIMENTATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/2cca0a13-3c6f-4617-aca9-bff7f8142c52
"PYROCUMULONIMBUS",https://gcmdservices.gsfc.nasa.gov/kms/concept/772d8044-f11b-4b01-bc72-d7dd45cfe1b3
"ADMINISTRATIVE DIVISIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/1ae304de-252c-45da-8dd8-df99a281e4f4
"WATERSHED/DRAINAGE BASINS",https://gcmdservices.gsfc.nasa.gov/kms/concept/97a71326-75ac-422f-941e-c0c2897dd46b
"SEDIMENTARY ROCK AGE DETERMINATIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/701f2b6f-34b0-4f69-941e-c2c5545abc0b
"X-RAY",https://gcmdservices.gsfc.nasa.gov/kms/concept/12156f9d-9731-446e-b9de-a781af653b1c
"WIND CHILL",https://gcmdservices.gsfc.nasa.gov/kms/concept/d571e1f5-7449-4052-943b-94d76f762677
"FEED PRODUCTS",https://gcmdservices.gsfc.nasa.gov/kms/concept/c1f9f5fa-245c-4055-81cf-5230c076c0ce
"CACO3",https://gcmdservices.gsfc.nasa.gov/kms/concept/9902dc89-61fb-4a1e-becf-c8138122d2c4
